                             h                             v                             m                             t
                    5.4649e+05                        1608.8                         12530                           523
                     5.481e+05                        1614.3                         12245                           524
                    5.4972e+05                        1619.8                         11960                           525
                    5.5134e+05                        1625.2                         11675                           526
                    5.5297e+05                        1630.7                         11390                           527
                     5.546e+05                        1636.1                         11105                           528
                    5.5624e+05                        1641.5                         10820                           529
                    5.5788e+05                        1646.9                         10535                           530
                    5.5953e+05                        1652.3                         10250                           531
                    5.6119e+05                        1657.7                          9965                           532
                    5.6285e+05                          1663                          9680                           533
                    5.6451e+05                        1668.3                          9395                           534
                    5.6618e+05                        1673.6                          9110                           535
                    5.6786e+05                        1678.8                          8825                           536
                    5.6954e+05                        1684.1                          8540                           537
                    5.7123e+05                        1689.3                          8255                           538
                    5.7292e+05                        1694.5                          7970                           539
                    5.7462e+05                        1699.6                          7685                           540
                    5.7632e+05                        1704.8                          7400                           541
                    5.7803e+05                        1709.9                          7115                           542
                    5.7974e+05                        1714.9                          6830                           543
                    5.8146e+05                          1720                          6545                           544
                    5.8318e+05                          1725                          6260                           545
                    5.8491e+05                          1730                          5975                           546
                    5.8664e+05                        1734.9                          5690                           547
                    5.8838e+05                        1739.8                          5405                           548
                    5.9012e+05                        1744.7                          5120                           549
                    5.9187e+05                        1749.5                          4835                           550
                    5.9362e+05                        1754.4                          4550                           551
                    5.9537e+05                        1759.1                          4265                         551.2
                    5.9705e+05                        1590.1                          4500                         552.2
                    5.9856e+05                          1449                          4500                         553.2
                    5.9995e+05                        1329.5                          4500                         554.2
                    6.0123e+05                        1226.8                          4500                         555.2
                    6.0241e+05                        1137.5                          4500                         556.2
                    6.0351e+05                        1059.1                          4500                         557.2
                    6.0453e+05                        989.63                          4500                         558.2
                    6.0549e+05                        927.55                          4500                         559.2
                    6.0639e+05                         871.7                          4500                         560.2
                    6.0723e+05                        821.13                          4500                         561.2
                    6.0803e+05                        775.07                          4500                         562.2
                    6.0879e+05                        732.91                          4500                         563.2
                     6.095e+05                        694.13                          4500                         564.2
                    6.1017e+05                         658.3                          4500                         565.2
                    6.1082e+05                        625.06                          4500                         566.2
                    6.1143e+05                         594.1                          4500                         567.2
                      6.12e+05                        565.17                          4500                         568.2
                    6.1256e+05                        538.04                          4500                         569.2
                    6.1308e+05                        512.53                          4500                         570.2
                    6.1358e+05                        488.46                          4500                         571.2
                    6.1406e+05                        465.69                          4500                         572.2
                    6.1451e+05                         444.1                          4500                         573.2
                    6.1495e+05                        423.58                          4500                         574.2
                    6.1536e+05                        404.02                          4500                         575.2
                    6.1576e+05                        385.35                          4500                         576.2
                    6.1613e+05                        367.47                          4500                         577.2
                    6.1649e+05                        350.33                          4500                         578.2
                    6.1683e+05                        333.86                          4500                         579.2
                    6.1716e+05                           318                          4500                         580.2
                    6.1747e+05                        302.71                          4500                         581.2
                    6.1776e+05                        287.93                          4500                         582.2
                    6.1804e+05                        273.63                          4500                         583.2
                    6.1831e+05                        259.77                          4500                         584.2
                    6.1856e+05                        246.32                          4500                         585.2
                     6.188e+05                        233.23                          4500                         586.2
                    6.1903e+05                        220.49                          4500                         587.2
                    6.1925e+05                        208.07                          4500                         588.2
                    6.1945e+05                        195.94                          4500                         589.2
                    6.1964e+05                        184.07                          4500                         590.2
                    6.1982e+05                        172.45                          4500                         591.2
                    6.1998e+05                        161.06                          4500                         592.2
                    6.2014e+05                        149.87                          4500                         593.2
                    6.2028e+05                        138.87                          4500                         594.2
                    6.2042e+05                        128.05                          4500                         595.2
                    6.2054e+05                        117.38                          4500                         596.2
                    6.2065e+05                        106.86                          4500                         597.2
                    6.2075e+05                        96.457                          4500                         598.2
                    6.2084e+05                        86.172                          4500                         599.2
                    6.2092e+05                        75.988                          4500                         600.2
                      6.21e+05                        65.891                          4500                         601.2
                    6.2106e+05                        55.869                          4500                         602.2
                    6.2111e+05                        45.911                          4500                         603.2
                    6.2115e+05                        36.005                          4500                         604.2
                    6.2118e+05                         26.14                          4500                         605.2
                     6.212e+05                        16.304                          4500                         606.2
                    6.2121e+05                         6.486                          4500                         607.2
                    6.2121e+05                       -3.3243                          4500                         608.2
                    6.2121e+05                        -13.13                          4500                         609.2
                    6.2119e+05                       -22.921                          4500                         610.2
                    6.2116e+05                       -32.687                          4500                         611.2
                    6.2112e+05                       -42.416                          4500                         612.2
                    6.2107e+05                       -52.098                          4500                         613.2
                    6.2102e+05                       -61.723                          4500                         614.2
                    6.2095e+05                       -71.281                          4500                         615.2
                    6.2088e+05                       -80.762                          4500                         616.2
                    6.2079e+05                       -90.155                          4500                         617.2
                    6.2069e+05                       -99.453                          4500                         618.2
                    6.2059e+05                       -108.65                          4500                         619.2
                    6.2048e+05                       -117.73                          4500                         620.2
                    6.2036e+05                       -126.69                          4500                         621.2
                    6.2022e+05                       -135.52                          4500                         622.2
                    6.2008e+05                       -144.21                          4500                         623.2
                    6.1994e+05                       -152.77                          4500                         624.2
                    6.1978e+05                       -161.17                          4500                         625.2
                    6.1961e+05                       -169.43                          4500                         626.2
                    6.1944e+05                       -177.52                          4500                         627.2
                    6.1926e+05                       -185.46                          4500                         628.2
                    6.1907e+05                       -193.23                          4500                         629.2
                    6.1887e+05                       -200.82                          4500                         630.2
                    6.1867e+05                       -208.25                          4500                         631.2
                    6.1846e+05                       -215.51                          4500                         632.2
                    6.1824e+05                       -222.58                          4500                         633.2
                    6.1801e+05                       -229.48                          4500                         634.2
                    6.1778e+05                       -236.21                          4500                         635.2
                    6.1754e+05                       -242.75                          4500                         636.2
                    6.1729e+05                       -249.12                          4500                         637.2
                    6.1704e+05                        -255.3                          4500                         638.2
                    6.1678e+05                       -261.32                          4500                         639.2
                    6.1652e+05                       -267.15                          4500                         640.2
                    6.1625e+05                       -272.81                          4500                         641.2
                    6.1597e+05                        -278.3                          4500                         642.2
                    6.1569e+05                       -283.61                          4500                         643.2
                     6.154e+05                       -288.76                          4500                         644.2
                    6.1511e+05                       -293.74                          4500                         645.2
                    6.1482e+05                       -298.55                          4500                         646.2
                    6.1452e+05                       -303.21                          4500                         647.2
                    6.1421e+05                       -307.71                          4500                         648.2
                     6.139e+05                       -312.05                          4500                         649.2
                    6.1359e+05                       -316.24                          4500                         650.2
                    6.1327e+05                       -320.28                          4500                         651.2
                    6.1295e+05                       -324.18                          4500                         652.2
                    6.1262e+05                       -327.94                          4500                         653.2
                    6.1229e+05                       -331.56                          4500                         654.2
                    6.1196e+05                       -335.04                          4500                         655.2
                    6.1162e+05                        -338.4                          4500                         656.2
                    6.1128e+05                       -341.62                          4500                         657.2
                    6.1094e+05                       -344.73                          4500                         658.2
                    6.1059e+05                       -347.71                          4500                         659.2
                    6.1024e+05                       -350.58                          4500                         660.2
                    6.0989e+05                       -353.34                          4500                         661.2
                    6.0954e+05                       -355.99                          4500                         662.2
                    6.0918e+05                       -358.53                          4500                         663.2
                    6.0882e+05                       -360.97                          4500                         664.2
                    6.0846e+05                       -363.31                          4500                         665.2
                    6.0809e+05                       -365.56                          4500                         666.2
                    6.0773e+05                       -367.72                          4500                         667.2
                    6.0736e+05                       -369.79                          4500                         668.2
                    6.0699e+05                       -371.77                          4500                         669.2
                    6.0661e+05                       -373.67                          4500                         670.2
                    6.0624e+05                       -375.49                          4500                         671.2
                    6.0586e+05                       -377.24                          4500                         672.2
                    6.0548e+05                       -378.91                          4500                         673.2
                     6.051e+05                       -380.51                          4500                         674.2
                    6.0472e+05                       -382.04                          4500                         675.2
                    6.0434e+05                       -383.51                          4500                         676.2
                    6.0396e+05                       -384.92                          4500                         677.2
                    6.0357e+05                       -386.26                          4500                         678.2
                    6.0318e+05                       -387.55                          4500                         679.2
                     6.028e+05                       -388.78                          4500                         680.2
                    6.0241e+05                       -389.96                          4500                         681.2
                    6.0202e+05                       -391.08                          4500                         682.2
                    6.0162e+05                       -392.16                          4500                         683.2
                    6.0123e+05                       -393.19                          4500                         684.2
                    6.0084e+05                       -394.18                          4500                         685.2
                    6.0044e+05                       -395.12                          4500                         686.2
                    6.0005e+05                       -396.02                          4500                         687.2
                    5.9965e+05                       -396.88                          4500                         688.2
                    5.9925e+05                       -397.71                          4500                         689.2
                    5.9886e+05                       -398.49                          4500                         690.2
                    5.9846e+05                       -399.25                          4500                         691.2
                    5.9806e+05                       -399.96                          4500                         692.2
                    5.9766e+05                       -400.65                          4500                         693.2
                    5.9726e+05                       -401.31                          4500                         694.2
                    5.9685e+05                       -401.93                          4500                         695.2
                    5.9645e+05                       -402.53                          4500                         696.2
                    5.9605e+05                        -403.1                          4500                         697.2
                    5.9565e+05                       -403.65                          4500                         698.2
                    5.9524e+05                       -404.17                          4500                         699.2
                    5.9484e+05                       -404.67                          4500                         700.2
                    5.9443e+05                       -405.15                          4500                         701.2
                    5.9403e+05                        -405.6                          4500                         702.2
                    5.9362e+05                       -406.03                          4500                         703.2
                    5.9321e+05                       -406.45                          4500                         704.2
                    5.9281e+05                       -406.84                          4500                         705.2
                     5.924e+05                       -407.22                          4500                         706.2
                    5.9199e+05                       -407.58                          4500                         707.2
                    5.9159e+05                       -407.93                          4500                         708.2
                    5.9118e+05                       -408.25                          4500                         709.2
                    5.9077e+05                       -408.57                          4500                         710.2
                    5.9036e+05                       -408.87                          4500                         711.2
                    5.8995e+05                       -409.15                          4500                         712.2
                    5.8954e+05                       -409.42                          4500                         713.2
                    5.8913e+05                       -409.68                          4500                         714.2
                    5.8872e+05                       -409.93                          4500                         715.2
                    5.8831e+05                       -410.17                          4500                         716.2
                     5.879e+05                        -410.4                          4500                         717.2
                    5.8749e+05                       -410.61                          4500                         718.2
                    5.8708e+05                       -410.82                          4500                         719.2
                    5.8667e+05                       -411.02                          4500                         720.2
                    5.8626e+05                        -411.2                          4500                         721.2
                    5.8585e+05                       -411.38                          4500                         722.2
                    5.8544e+05                       -411.55                          4500                         723.2
                    5.8502e+05                       -411.72                          4500                         724.2
                    5.8461e+05                       -411.87                          4500                         725.2
                     5.842e+05                       -412.02                          4500                         726.2
                    5.8379e+05                       -412.16                          4500                         727.2
                    5.8338e+05                        -412.3                          4500                         728.2
                    5.8296e+05                       -412.43                          4500                         729.2
                    5.8255e+05                       -412.55                          4500                         730.2
                    5.8214e+05                       -412.67                          4500                         731.2
                    5.8173e+05                       -412.78                          4500                         732.2
                    5.8131e+05                       -412.88                          4500                         733.2
                     5.809e+05                       -412.99                          4500                         734.2
                    5.8049e+05                       -413.08                          4500                         735.2
                    5.8007e+05                       -413.18                          4500                         736.2
                    5.7966e+05                       -413.27                          4500                         737.2
                    5.7925e+05                       -413.35                          4500                         738.2
                    5.7883e+05                       -413.43                          4500                         739.2
                    5.7842e+05                       -413.51                          4500                         740.2
                    5.7801e+05                       -413.58                          4500                         741.2
                    5.7759e+05                       -413.65                          4500                         742.2
                    5.7718e+05                       -413.72                          4500                         743.2
                    5.7677e+05                       -413.78                          4500                         744.2
                    5.7635e+05                       -413.84                          4500                         745.2
                    5.7594e+05                        -413.9                          4500                         746.2
                    5.7553e+05                       -413.95                          4500                         747.2
                    5.7511e+05                       -414.01                          4500                         748.2
                     5.747e+05                       -414.06                          4500                         749.2
                    5.7428e+05                       -414.11                          4500                         750.2
                    5.7387e+05                       -414.15                          4500                         751.2
                    5.7345e+05                        -414.2                          4500                         752.2
                    5.7304e+05                       -414.24                          4500                         753.2
                    5.7263e+05                       -414.28                          4500                         754.2
                    5.7221e+05                       -414.31                          4500                         755.2
                     5.718e+05                       -414.35                          4500                         756.2
                    5.7138e+05                       -414.39                          4500                         757.2
                    5.7097e+05                       -414.42                          4500                         758.2
                    5.7055e+05                       -414.45                          4500                         759.2
                    5.7014e+05                       -414.48                          4500                         760.2
                    5.6973e+05                       -414.51                          4500                         761.2
                    5.6931e+05                       -414.54                          4500                         762.2
                     5.689e+05                       -414.56                          4500                         763.2
                    5.6848e+05                       -414.59                          4500                         764.2
                    5.6807e+05                       -414.61                          4500                         765.2
                    5.6765e+05                       -414.63                          4500                         766.2
                    5.6724e+05                       -414.65                          4500                         767.2
                    5.6682e+05                       -414.67                          4500                         768.2
                    5.6641e+05                       -414.69                          4500                         769.2
                    5.6599e+05                       -414.71                          4500                         770.2
                    5.6558e+05                       -414.73                          4500                         771.2
                    5.6516e+05                       -414.75                          4500                         772.2
                    5.6475e+05                       -414.76                          4500                         773.2
                    5.6433e+05                       -414.78                          4500                         774.2
                    5.6392e+05                       -414.79                          4500                         775.2
                    5.6351e+05                       -414.81                          4500                         776.2
                    5.6309e+05                       -414.82                          4500                         777.2
                    5.6268e+05                       -414.83                          4500                         778.2
                    5.6226e+05                       -414.85                          4500                         779.2
                    5.6185e+05                       -414.86                          4500                         780.2
                    5.6143e+05                       -414.87                          4500                         781.2
                    5.6102e+05                       -414.88                          4500                         782.2
                     5.606e+05                       -414.89                          4500                         783.2
                    5.6019e+05                        -414.9                          4500                         784.2
                    5.5977e+05                       -414.91                          4500                         785.2
                    5.5936e+05                       -414.92                          4500                         786.2
                    5.5894e+05                       -414.93                          4500                         787.2
                    5.5853e+05                       -414.93                          4500                         788.2
                    5.5811e+05                       -414.94                          4500                         789.2
                     5.577e+05                       -414.95                          4500                         790.2
                    5.5728e+05                       -414.96                          4500                         791.2
                    5.5687e+05                       -414.96                          4500                         792.2
                    5.5645e+05                       -414.97                          4500                         793.2
                    5.5604e+05                       -414.97                          4500                         794.2
                    5.5562e+05                       -414.98                          4500                         795.2
                    5.5521e+05                       -414.99                          4500                         796.2
                    5.5479e+05                       -414.99                          4500                         797.2
                    5.5438e+05                          -415                          4500                         798.2
                    5.5396e+05                          -415                          4500                         799.2
                    5.5355e+05                       -415.01                          4500                         800.2
                    5.5313e+05                       -415.01                          4500                         801.2
                    5.5272e+05                       -415.01                          4500                         802.2
                     5.523e+05                       -415.02                          4500                         803.2
                    5.5189e+05                       -415.02                          4500                         804.2
                    5.5147e+05                       -415.02                          4500                         805.2
                    5.5106e+05                       -415.03                          4500                         806.2
                    5.5064e+05                       -415.03                          4500                         807.2
                    5.5023e+05                       -415.03                          4500                         808.2
                    5.4981e+05                       -415.04                          4500                         809.2
                     5.494e+05                       -415.04                          4500                         810.2
                    5.4898e+05                       -415.04                          4500                         811.2
                    5.4857e+05                       -415.05                          4500                         812.2
                    5.4815e+05                       -415.05                          4500                         813.2
                    5.4774e+05                       -415.05                          4500                         814.2
                    5.4732e+05                       -415.05                          4500                         815.2
                    5.4691e+05                       -415.05                          4500                         816.2
                    5.4649e+05                       -415.06                          4500                         817.2
                    5.4608e+05                       -415.06                          4500                         818.2
                    5.4566e+05                       -415.06                          4500                         819.2
                    5.4525e+05                       -415.06                          4500                         820.2
                    5.4483e+05                       -415.06                          4500                         821.2
                    5.4442e+05                       -415.07                          4500                         822.2
                      5.44e+05                       -415.07                          4500                         823.2
                    5.4359e+05                       -415.07                          4500                         824.2
                    5.4317e+05                       -415.07                          4500                         825.2
                    5.4276e+05                       -415.07                          4500                         826.2
                    5.4234e+05                       -415.07                          4500                         827.2
                    5.4193e+05                       -415.07                          4500                         828.2
                    5.4151e+05                       -415.07                          4500                         829.2
                     5.411e+05                       -415.08                          4500                         830.2
                    5.4068e+05                       -415.08                          4500                         831.2
                    5.4027e+05                       -415.08                          4500                         832.2
                    5.3985e+05                       -415.08                          4500                         833.2
                    5.3944e+05                       -415.08                          4500                         834.2
                    5.3902e+05                       -415.08                          4500                         835.2
                    5.3861e+05                       -415.08                          4500                         836.2
                    5.3819e+05                       -415.08                          4500                         837.2
                    5.3778e+05                       -415.08                          4500                         838.2
                    5.3736e+05                       -415.08                          4500                         839.2
                    5.3694e+05                       -415.08                          4500                         840.2
                    5.3653e+05                       -415.09                          4500                         841.2
                    5.3611e+05                       -415.09                          4500                         842.2
                     5.357e+05                       -415.09                          4500                         843.2
                    5.3528e+05                       -415.09                          4500                         844.2
                    5.3487e+05                       -415.09                          4500                         845.2
                    5.3445e+05                       -415.09                          4500                         846.2
                    5.3404e+05                       -415.09                          4500                         847.2
                    5.3362e+05                       -415.09                          4500                         848.2
                    5.3321e+05                       -415.09                          4500                         849.2
                    5.3279e+05                       -415.09                          4500                         850.2
                    5.3238e+05                       -415.09                          4500                         851.2
                    5.3196e+05                       -415.09                          4500                         852.2
                    5.3155e+05                       -415.09                          4500                         853.2
                    5.3113e+05                       -415.09                          4500                         854.2
                    5.3072e+05                       -415.09                          4500                         855.2
                     5.303e+05                       -415.09                          4500                         856.2
                    5.2989e+05                       -415.09                          4500                         857.2
                    5.2947e+05                       -415.09                          4500                         858.2
                    5.2906e+05                       -415.09                          4500                         859.2
                    5.2864e+05                       -415.09                          4500                         860.2
                    5.2823e+05                       -415.09                          4500                         861.2
                    5.2781e+05                       -415.09                          4500                         862.2
                     5.274e+05                       -415.09                          4500                         863.2
                    5.2698e+05                       -415.09                          4500                         864.2
                    5.2657e+05                       -415.09                          4500                         865.2
                    5.2615e+05                       -415.09                          4500                         866.2
                    5.2574e+05                       -415.09                          4500                         867.2
                    5.2532e+05                       -415.09                          4500                         868.2
                    5.2491e+05                       -415.09                          4500                         869.2
                    5.2449e+05                        -415.1                          4500                         870.2
                    5.2408e+05                        -415.1                          4500                         871.2
                    5.2366e+05                        -415.1                          4500                         872.2
                    5.2325e+05                        -415.1                          4500                         873.2
                    5.2283e+05                        -415.1                          4500                         874.2
                    5.2242e+05                        -415.1                          4500                         875.2
                      5.22e+05                        -415.1                          4500                         876.2
                    5.2159e+05                        -415.1                          4500                         877.2
                    5.2117e+05                        -415.1                          4500                         878.2
                    5.2076e+05                        -415.1                          4500                         879.2
                    5.2034e+05                        -415.1                          4500                         880.2
                    5.1993e+05                        -415.1                          4500                         881.2
                    5.1951e+05                        -415.1                          4500                         882.2
                     5.191e+05                        -415.1                          4500                         883.2
                    5.1868e+05                        -415.1                          4500                         884.2
                    5.1827e+05                        -415.1                          4500                         885.2
                    5.1785e+05                        -415.1                          4500                         886.2
                    5.1744e+05                        -415.1                          4500                         887.2
                    5.1702e+05                        -415.1                          4500                         888.2
                    5.1661e+05                        -415.1                          4500                         889.2
                    5.1619e+05                        -415.1                          4500                         890.2
                    5.1578e+05                        -415.1                          4500                         891.2
                    5.1536e+05                        -415.1                          4500                         892.2
                    5.1494e+05                        -415.1                          4500                         893.2
