                             h                             v                             m                             t
                         64399                        1205.8                     2.013e+05                           147
                         65613                        1221.8                     1.992e+05                           148
                         66843                        1237.9                     1.971e+05                           149
                         68089                        1254.2                      1.95e+05                           150
                         69351                        1270.5                     1.929e+05                           151
                         70630                          1287                     1.908e+05                           152
                         71925                        1303.6                     1.887e+05                           153
                         73237                        1320.3                     1.866e+05                           154
                         74566                        1337.1                     1.845e+05                           155
                         75911                        1354.1                     1.824e+05                           156
                         77274                        1371.1                     1.803e+05                           157
                         78653                        1388.3                     1.782e+05                           158
                         80050                        1405.6                     1.761e+05                           159
                         81465                          1423                      1.74e+05                           160
                         82896                        1440.5                     1.719e+05                           161
                         84346                        1458.1                     1.698e+05                           162
                         85813                        1475.8                     1.677e+05                           163
                         87297                        1493.7                     1.656e+05                           164
                         88800                        1511.6                     1.635e+05                           165
                         90321                        1529.6                     1.614e+05                           166
                         91859                        1547.8                     1.593e+05                           167
                         93416                          1566                     1.572e+05                           168
                         94991                        1584.3                     1.551e+05                           169
                         96585                        1602.7                      1.53e+05                           170
                         98197                        1621.2                     1.509e+05                           171
                         99827                        1639.8                     1.488e+05                           172
                    1.0148e+05                        1658.5                     1.467e+05                           173
                    1.0314e+05                        1677.3                     1.446e+05                           174
                    1.0483e+05                        1696.1                     1.425e+05                           175
                    1.0654e+05                          1715                     1.404e+05                           176
                    1.0826e+05                          1734                     1.383e+05                           177
                       1.1e+05                        1753.1                     1.362e+05                           178
                    1.1177e+05                        1772.2                     1.341e+05                           179
                    1.1355e+05                        1791.4                      1.32e+05                           180
                    1.1535e+05                        1810.7                     1.299e+05                           181
                    1.1716e+05                        1801.1                    1.0972e+05                           182
                    1.1895e+05                        1791.5                    1.0943e+05                           183
                    1.2074e+05                          1782                    1.0914e+05                           184
                    1.2252e+05                        1772.7                    1.0886e+05                           185
                    1.2428e+05                        1763.3                    1.0858e+05                           186
                    1.2604e+05                        1754.1                    1.0829e+05                           187
                    1.2779e+05                          1745                      1.08e+05                           188
                    1.2953e+05                        1735.9                    1.0772e+05                           189
                    1.3126e+05                        1726.9                    1.0744e+05                           190
                    1.3299e+05                        1717.9                    1.0715e+05                           191
                     1.347e+05                        1709.1                    1.0686e+05                           192
                    1.3641e+05                        1700.3                    1.0658e+05                           193
                     1.381e+05                        1691.6                     1.063e+05                           194
                    1.3979e+05                          1683                    1.0601e+05                           195
                    1.4147e+05                        1674.4                    1.0572e+05                           196
                    1.4314e+05                          1666                    1.0544e+05                           197
                     1.448e+05                        1657.6                    1.0516e+05                           198
                    1.4645e+05                        1649.2                    1.0487e+05                           199
                     1.481e+05                        1640.9                    1.0458e+05                           200
                    1.4973e+05                        1632.8                     1.043e+05                           201
                    1.5136e+05                        1624.6                    1.0402e+05                           202
                    1.5298e+05                        1616.6                    1.0373e+05                           203
                     1.546e+05                        1608.6                    1.0344e+05                           204
                     1.562e+05                        1600.7                    1.0316e+05                           205
                     1.578e+05                        1592.8                    1.0288e+05                           206
                    1.5939e+05                          1585                    1.0259e+05                           207
                    1.6097e+05                        1577.3                     1.023e+05                           208
                    1.6254e+05                        1569.7                    1.0202e+05                           209
                    1.6411e+05                        1562.1                    1.0174e+05                           210
                    1.6567e+05                        1554.6                    1.0145e+05                           211
                    1.6722e+05                        1547.1                    1.0116e+05                           212
                    1.6876e+05                        1539.7                    1.0088e+05                           213
                     1.703e+05                        1532.4                     1.006e+05                           214
                    1.7182e+05                        1525.1                    1.0031e+05                           215
                    1.7335e+05                        1517.9                    1.0002e+05                           216
                    1.7486e+05                        1510.8                         99740                           217
                    1.7637e+05                        1503.7                         99455                           218
                    1.7787e+05                        1496.7                         99170                           219
                    1.7936e+05                        1489.8                         98885                           220
                    1.8085e+05                        1482.9                         98600                           221
                    1.8233e+05                        1476.1                         98315                           222
                     1.838e+05                        1469.3                         98030                           223
                    1.8527e+05                        1462.6                         97745                           224
                    1.8672e+05                          1456                         97460                           225
                    1.8818e+05                        1449.4                         97175                           226
                    1.8962e+05                        1442.9                         96890                           227
                    1.9106e+05                        1436.4                         96605                           228
                     1.925e+05                          1430                         96320                           229
                    1.9392e+05                        1423.7                         96035                           230
                    1.9534e+05                        1417.4                         95750                           231
                    1.9676e+05                        1411.2                         95465                           232
                    1.9817e+05                          1405                         95180                           233
                    1.9957e+05                        1398.9                         94895                           234
                    2.0096e+05                        1392.8                         94610                           235
                    2.0235e+05                        1386.8                         94325                           236
                    2.0374e+05                        1380.9                         94040                           237
                    2.0512e+05                          1375                         93755                           238
                    2.0649e+05                        1369.2                         93470                           239
                    2.0785e+05                        1363.4                         93185                           240
                    2.0921e+05                        1357.7                         92900                           241
                    2.1057e+05                          1352                         92615                           242
                    2.1192e+05                        1346.4                         92330                           243
                    2.1326e+05                        1340.9                         92045                           244
                     2.146e+05                        1335.4                         91760                           245
                    2.1593e+05                        1329.9                         91475                           246
                    2.1726e+05                        1324.5                         91190                           247
                    2.1858e+05                        1319.2                         90905                           248
                     2.199e+05                        1313.9                         90620                           249
                    2.2121e+05                        1308.7                         90335                           250
                    2.2252e+05                        1303.5                         90050                           251
                    2.2382e+05                        1298.4                         89765                           252
                    2.2511e+05                        1293.3                         89480                           253
                     2.264e+05                        1288.3                         89195                           254
                    2.2769e+05                        1283.3                         88910                           255
                    2.2897e+05                        1278.4                         88625                           256
                    2.3025e+05                        1273.6                         88340                           257
                    2.3152e+05                        1268.7                         88055                           258
                    2.3278e+05                          1264                         87770                           259
                    2.3405e+05                        1259.3                         87485                           260
                     2.353e+05                        1254.6                         87200                           261
                    2.3655e+05                          1250                         86915                           262
                     2.378e+05                        1245.5                         86630                           263
                    2.3905e+05                          1241                         86345                           264
                    2.4028e+05                        1236.5                         86060                           265
                    2.4152e+05                        1232.1                         85775                           266
                    2.4275e+05                        1227.8                         85490                           267
                    2.4397e+05                        1223.5                         85205                           268
                     2.452e+05                        1219.2                         84920                           269
                    2.4641e+05                          1215                         84635                           270
                    2.4763e+05                        1210.9                         84350                           271
                    2.4883e+05                        1206.8                         84065                           272
                    2.5004e+05                        1202.7                         83780                           273
                    2.5124e+05                        1198.7                         83495                           274
                    2.5244e+05                        1194.7                         83210                           275
                    2.5363e+05                        1190.8                         82925                           276
                    2.5482e+05                          1187                         82640                           277
                      2.56e+05                        1183.2                         82355                           278
                    2.5718e+05                        1179.4                         82070                           279
                    2.5836e+05                        1175.7                         81785                           280
                    2.5954e+05                          1172                         81500                           281
                    2.6071e+05                        1168.4                         81215                           282
                    2.6187e+05                        1164.9                         80930                           283
                    2.6304e+05                        1161.3                         80645                           284
                     2.642e+05                        1157.9                         80360                           285
                    2.6535e+05                        1154.5                         80075                           286
                     2.665e+05                        1151.1                         79790                           287
                    2.6765e+05                        1147.8                         79505                           288
                     2.688e+05                        1144.5                         79220                           289
                    2.6994e+05                        1141.3                         78935                           290
                    2.7108e+05                        1138.1                         78650                           291
                    2.7222e+05                        1134.9                         78365                           292
                    2.7335e+05                        1131.9                         78080                           293
                    2.7448e+05                        1128.8                         77795                           294
                    2.7561e+05                        1125.8                         77510                           295
                    2.7673e+05                        1122.9                         77225                           296
                    2.7786e+05                          1120                         76940                           297
                    2.7897e+05                        1117.1                         76655                           298
                    2.8009e+05                        1114.3                         76370                           299
                     2.812e+05                        1111.6                         76085                           300
                    2.8231e+05                        1108.9                         75800                           301
                    2.8342e+05                        1106.2                         75515                           302
                    2.8453e+05                        1103.6                         75230                           303
                    2.8563e+05                          1101                         74945                           304
                    2.8673e+05                        1098.5                         74660                           305
                    2.8782e+05                          1096                         74375                           306
                    2.8892e+05                        1093.6                         74090                           307
                    2.9001e+05                        1091.2                         73805                           308
                     2.911e+05                        1088.9                         73520                           309
                    2.9219e+05                        1086.6                         73235                           310
                    2.9328e+05                        1084.3                         72950                           311
                    2.9436e+05                        1082.1                         72665                           312
                    2.9544e+05                          1080                         72380                           313
                    2.9652e+05                        1077.9                         72095                           314
                     2.976e+05                        1075.8                         71810                           315
                    2.9867e+05                        1073.8                         71525                           316
                    2.9974e+05                        1071.9                         71240                           317
                    3.0081e+05                        1069.9                         70955                           318
                    3.0188e+05                        1068.1                         70670                           319
                    3.0295e+05                        1066.2                         70385                           320
                    3.0402e+05                        1064.5                         70100                           321
                    3.0508e+05                        1062.7                         69815                           322
                    3.0614e+05                        1061.1                         69530                           323
                     3.072e+05                        1059.4                         69245                           324
                    3.0826e+05                        1057.8                         68960                           325
                    3.0932e+05                        1056.3                         68675                           326
                    3.1037e+05                        1054.8                         68390                           327
                    3.1143e+05                        1053.3                         68105                           328
                    3.1248e+05                        1051.9                         67820                           329
                    3.1353e+05                        1050.6                         67535                           330
                    3.1458e+05                        1049.2                         67250                           331
                    3.1563e+05                          1048                         66965                           332
                    3.1668e+05                        1046.8                         66680                           333
                    3.1772e+05                        1045.6                         66395                           334
                    3.1877e+05                        1044.5                         66110                           335
                    3.1981e+05                        1043.4                         65825                           336
                    3.2085e+05                        1042.3                         65540                           337
                     3.219e+05                        1041.3                         65255                           338
                    3.2294e+05                        1040.4                         64970                           339
                    3.2398e+05                        1039.5                         64685                           340
                    3.2502e+05                        1038.7                         64400                           341
                    3.2605e+05                        1037.9                         64115                           342
                    3.2709e+05                        1037.1                         63830                           343
                    3.2813e+05                        1036.4                         63545                           344
                    3.2916e+05                        1035.7                         63260                           345
                     3.302e+05                        1035.1                         62975                           346
                    3.3123e+05                        1034.6                         62690                           347
                    3.3227e+05                          1034                         62405                           348
                     3.333e+05                        1033.6                         62120                           349
                    3.3434e+05                        1033.1                         61835                           350
                    3.3537e+05                        1032.7                         61550                           351
                     3.364e+05                        1032.4                         61265                           352
                    3.3743e+05                        1032.1                         60980                           353
                    3.3847e+05                        1031.9                         60695                           354
                     3.395e+05                        1031.7                         60410                           355
                    3.4053e+05                        1031.5                         60125                           356
                    3.4156e+05                        1031.4                         59840                           357
                    3.4259e+05                        1031.4                         59555                           358
                    3.4362e+05                        1031.4                         59270                           359
                    3.4465e+05                        1031.4                         58985                           360
                    3.4569e+05                        1031.5                         58700                           361
                    3.4672e+05                        1031.6                         58415                           362
                    3.4775e+05                        1031.8                         58130                           363
                    3.4878e+05                        1032.1                         57845                           364
                    3.4981e+05                        1032.3                         57560                           365
                    3.5085e+05                        1032.7                         57275                           366
                    3.5188e+05                          1033                         56990                           367
                    3.5291e+05                        1033.4                         56705                           368
                    3.5395e+05                        1033.9                         56420                           369
                    3.5498e+05                        1034.4                         56135                           370
                    3.5601e+05                          1035                         55850                           371
